AP;Hommes A;;;H;1994;2010;;;True;False;;
BP;Hommes  B;;;H;1984;1993;;;True;False;;
CP;Hommes C;;;H;1974;1983;;;True;False;;
DP;Hommes D;;;H;1964;1973;;;True;False;;
EP;Hommes E;;;H;1911;1963;;;True;False;;
FP;Dames F;;;D;1988;2010;;;True;False;;
GP;Dames G;;;D;1911;1987;;;True;False;;
